,timestamp,tweet_text,username,all_hashtags,followers_count,text
362,6/1/2019 9:42,@sixitsports Australia will win  #WiNiT  #SiXiT #Contest #Predict  #Win @sixitsports #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  Join @Navyavegi  @avivishnu9  @veerababupro @Rajeesh077  @ShainaArora1  @priyank62051464  @anil9991 @mkishorr @Karthik9996,b'nekkantitsayz',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",286,australia will win   winit    sixit   contest   predict    win    afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz   join
363,6/1/2019 9:42,@sixitsports Australia  #WiNiT #SiXiT #Contest #Predict #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz,b'jyotishsb',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",1092,australia   winit   sixit   contest   predict   afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz 
364,6/1/2019 9:41,@sixitsports Australia win  #WiNiT  #SiXiT #Contest #Predict  #Win @sixitsports #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  tag @acidkidrock @bold_kitten @Sagar1raut @chilled_Sup @SassyAnokhi_ @abhilashp28645  @bhelman9 @itsazeena @kailashkumarJo4,b'prashpatel_',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",2365,australia win   winit    sixit   contest   predict    win    afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz   tag
365,6/1/2019 9:39,"@StarSportsIndia How unfair it is, while you have enough channels to telecast Both matches of #CWC19 on a double header day, still you insist to telecast #NZvsSL all over the network and #AFGvsAUS just on SS3 that too ""Apni Football Ka Apna Channel"", No HD No Hindi for the later?",b'snrejuvenate',"['CWC19', 'NZvsSL', 'AFGvsAUS']",5,"how unfair it is, while you have enough channels to telecast both matches of  cwc19  on a double header day, still you insist to telecast  nzvssl  all over the network and  afgvsaus  just on ss3 that too ""apni football ka apna channel"", no hd no hindi for the later?"
366,6/1/2019 9:36,@Kamla__Pasand Done Team   #AFGvsAUS #AUSvsAFG #AFGvAUS  #AUSvAFG #CWC2019 #ICCCricketWorldCup2019  #contestalert,b'sanapalasrinu',"['AFGvsAUS', 'AUSvsAFG', 'AFGvAUS', 'AUSvAFG', 'CWC2019', 'ICCCricketWorldCup2019', 'contestalert']",44,done team    afgvsaus   ausvsafg   afgvaus    ausvafg   cwc2019   icccricketworldcup2019    contestalert 
367,6/1/2019 9:30,"Enjoy the British summer in @VisitBristol! One of the host cities for the @cricketWorldCup, #Bristol city is filled with exciting things to see and do during your visit! #AFGvsAUS #CWC19 https://t.co/AhWNkC19Eo",b'VisitBritainIN',"['Bristol', 'AFGvsAUS', 'CWC19']",4987,enjoy the british summer in  one of the host cities for the   bristol  city is filled with exciting things to see and do during your visit!  afgvsaus   cwc19 
368,6/1/2019 9:30,"Australia team for World Cup 2019: List of players, match timings &amp; schedule for AUS at the ICC CWC   https://t.co/yDo2jqKWAW #CWC19 #AFGvsAUS",b'gqindia',"['CWC19', 'AFGvsAUS']",591341,"australia team for world cup 2019: list of players, match timings &amp; schedule for aus at the icc cwc     cwc19   afgvsaus "
369,6/1/2019 9:25,@GrabOnIn #Australia  #Afghanistan #GrabTheCup #ContestAlert #AFGvsAUS  Prediction done https://t.co/BauWaYxdbf,b'ArpanOnline',"['Australia', 'Afghanistan', 'GrabTheCup', 'ContestAlert', 'AFGvsAUS']",786, australia    afghanistan   grabthecup   contestalert   afgvsaus   prediction done
370,6/1/2019 9:22,Today 2 matches #WC2019  #SLvsNZ at 2:30 pm PST #AFGvsAUS 5:30 pm PST,b'Mishi827',"['WC2019', 'SLvsNZ', 'AFGvsAUS']",1881,today 2 matches  wc2019    slvsnz  at 2:30 pm pst  afgvsaus  5:30 pm pst
371,6/1/2019 9:19,Gear up for GrabOn Cricket World Cup as #Australia take on #Afghanistan. Make the correct predictions and get a chance to win exciting giveaways!  Play Now: https://t.co/TR1wiBPHUK   #GrabTheCup #ContestAlert #AFGvsAUS    Note: Only predictions submitted on the website are valid. https://t.co/G7xCdd0K2Y,b'GrabOnIn',"['Australia', 'Afghanistan', 'GrabTheCup', 'ContestAlert', 'AFGvsAUS']",6895,gear up for grabon cricket world cup as  australia  take on  afghanistan.  make the correct predictions and get a chance to win exciting giveaways!  play now:     grabthecup   contestalert   afgvsaus     note: only predictions submitted on the website are valid.
