timestamp,tweet_text,username,all_hashtags,followers_count
6/1/2019 12:20,"@sixitsports Australia will win today's match  #WiNiT #SiXiT #Contest #Predict #maximum #Wickets  Sixitsports #Like, #Share, #tag friends: @Mohamme19515625 @Mohamme92782775  #AFGVsAUS #Afghanisthan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz",b'basha_naveeth',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'maximum', 'Wickets', 'Like', 'Share', 'tag', 'AFGVsAUS', 'Afghanisthan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",46
6/1/2019 12:19,@StarSportsIndia  On which channel will #AFGvsAUS will be streamed ?,b'NakulSinghJado2',['AFGvsAUS'],6
6/1/2019 12:18,"Very excited for #AFGvsAUS ,as a neutral fan I am supporting @ACBofficials come on Afg you can do it!",b'bhayyag123',['AFGvsAUS'],22
6/1/2019 12:17,At Bristol  AUS  P - 2; W - 1; L - 1  AFG  P - 0  Batting 2nd  P - 1; W - 1  NOTE: This is the first match for Afghanistan in England! How will they fare the English conditions?  #CWC19 #AFGvsAUS  #AfghanAtalan #CmonAussie  #StatsByDiwakarVaratharajan,b'Diwakar_Gullu',"['CWC19', 'AFGvsAUS', 'AfghanAtalan', 'CmonAussie', 'StatsByDiwakarVaratharajan']",105
6/1/2019 12:16,#CWC19 #AFGvsAUS  AFG ICC ODI Rank - 10 AUS ICC ODI Rank - 5  Head to Head in ODIs  P - 2; AUS - 2; AFG - 0  H-H in CWCs  P - 1; AUS - 1; AFG - 0  At Bristol  AUS  P - 2; W - 1; L - 1  AFG  P - 0  #AfghanAtalan #CmonAussie  #StatsByDiwakarVaratharajan https://t.co/yBiGCMPJrA,b'Diwakar_Gullu',"['CWC19', 'AFGvsAUS', 'AfghanAtalan', 'CmonAussie', 'StatsByDiwakarVaratharajan']",105
6/1/2019 12:15,#AfghanAtalan #AFG won the toss &amp; opt to bat first! Expecting some hard hitting knock from #HazratullahZazai #MohammadShahzad #MohammadNabi !  #AfghanAtalan Vs #CmonAussie   #AFGvsAUS #CWC19,b'tamizhanlogesh',"['AfghanAtalan', 'AFG', 'HazratullahZazai', 'MohammadShahzad', 'MohammadNabi', 'AfghanAtalan', 'CmonAussie', 'AFGvsAUS', 'CWC19']",4912
6/1/2019 12:15,"#CWC19 #AFGvsAUS Australia (Playing XI): Aaron Finch(c), David Warner, Usman Khawaja, Steven Smith, Glenn Maxwell, Marcus Stoinis, Alex Carey(w), Nathan Coulter-Nile, Pat Cummins, Mitchell Starc, Adam Zampa Live - https://t.co/oYgwNSCfhf",b'11cricketnews',"['CWC19', 'AFGvsAUS']",747
6/1/2019 12:15,"Alright people! Its getting hot in here now! Pass that drink over and watch which team will win this one with your friends, on a 4K projector right at home!  #AFGvsAUS #AUSvsAFG #CWC2019 #Match4 https://t.co/KW0rZxioTs",b'DubaimachinesC',"['AFGvsAUS', 'AUSvsAFG', 'CWC2019', 'Match4']",320
6/1/2019 12:13,#CWC19 #AFGvsAUS Afghanistan have won the toss and have opted to bat Live - https://t.co/oYgwNSCfhf,b'11cricketnews',"['CWC19', 'AFGvsAUS']",747
6/1/2019 12:13,Afghanistan is batting first expect another 120-130 game #AFGvsAUS,b'AO31051999',['AFGvsAUS'],30
6/1/2019 12:13,@sixitsports Afghanistan will #Win today’s match.  #WiNiT #SiXiT #Contest #Predict #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz @sixitsports  @rakhi265  @Mahirai6 @jeevan612 @Annu_23 @JohnyBoy_19 @Vinod_197,b'anilkb1961',"['Win', 'WiNiT', 'SiXiT', 'Contest', 'Predict', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",170
6/1/2019 12:10,@sixitsports Australia will #Win today’s match.  #WiNiT #SiXiT #Contest #Predict #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz @sixitsports  @Nishh_Luv @PC_920 @Usha512 @Jeay501 @anusha1993_ @rakhi267,b'kamnabhardwaj21',"['Win', 'WiNiT', 'SiXiT', 'Contest', 'Predict', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",640
6/1/2019 12:10,"@kartcric They are not underdogs,not anymore and that’s how they look at themselves in this worldcup #AFGvsAUS",b'ChowdarySaikesh',['AFGvsAUS'],2
